Model,IMEI,SerialNumber,Condition
Samsung Galaxy A05,123456789012345,SN001,new
Samsung Galaxy A05,123456789012346,SN002,new
Samsung Galaxy A05,123456789012347,SN003,refurbished
Samsung Galaxy A06,234567890123456,SN004,new
Samsung Galaxy A06,234567890123457,SN005,new
Samsung Galaxy A07,345678901234567,SN006,used
Samsung Galaxy A16 5G,456789012345678,SN007,new
Samsung Galaxy A26 5G,567890123456789,SN008,new
Samsung Galaxy A36 5G,678901234567890,SN009,refurbished
Samsung Galaxy A56 5G,789012345678901,SN010,new
